cohort,year,project,placement,primary_archetype,interaction_pattern,real_world_or_operational_action,explicit_safety_validation_or_human_control,inferred_future_path,source_url
OpenAI x GovTech Singapore,2024,Automated OneService,1st,Public service accessibility,Multilingual realtime voice,Yes,No,Public-sector pilot,https://community.openai.com/t/openai-s-first-hackathon-in-asia-in-conjunction-with-govtechsg/1028468
OpenAI x GovTech Singapore,2024,Excalibur,2nd,Education,Voice-controlled game,No,No,Education product,https://community.openai.com/t/openai-s-first-hackathon-in-asia-in-conjunction-with-govtechsg/1028468
OpenAI x GovTech Singapore,2024,Medicine Adherence,3rd,Health and elder care,Realtime voice assistant,Yes,Yes,Clinical or care pilot,https://community.openai.com/t/openai-s-first-hackathon-in-asia-in-conjunction-with-govtechsg/1028468
OpenAI Open Model Hackathon,2025,RoboChef,Best Overall,Robotics and home assistance,Vision-language-action robot,Yes,No,Hardware research and product,https://devpost.com/software/robochef-gpt-oss-powered-kitchen-assistant
OpenAI Open Model Hackathon,2025,A Printer for Smell,Best in Robotics,Creative hardware,Schema-constrained scent compiler,Yes,Yes,Hardware platform and creator API,https://devpost.com/software/a-printer-for-smell-ai-scent-songs
OpenAI Open Model Hackathon,2025,Steam Print,Weirdest Hardware,Maker tooling,Voice-to-3D-print workflow,Yes,No,Maker operations platform,https://devpost.com/software/steam-deck-3d-printing
OpenAI Open Model Hackathon,2025,Memory Palace,Best Local Agent and For Humanity,Assistive local AI,Private multimodal local agent,No,Yes,Assistive product and research,https://devpost.com/software/memory-palace-qyat7g
OpenAI Open Model Hackathon,2025,Dental Assessment GPT,Most Useful Fine-Tune,Healthcare specialist model,Domain fine-tune,No,Yes,Domain model and agent backbone,https://devpost.com/software/dental-assessment-gpt
OpenAI Open Model Hackathon,2025,bota,Wildcard,Games and autonomous agents,Autonomous game agent,Yes,No,Research demo and entertainment,https://devpost.com/software/bota
OpenAI Build Week,2026,Mechanica,1st Education,Education and cultural heritage,Interactive 3D physics museum,No,Yes,Education and museum platform,https://devpost.com/software/xiaoqiang
OpenAI Build Week,2026,Dau,2nd Education,Language education,Voice and pitch visualization,No,Yes,Education product,https://devpost.com/software/d-u-see-your-vietnamese-tones
OpenAI Build Week,2026,veTriage,1st Work and Productivity,Vertical clinical operations,Structured veterinary triage,Yes,Yes,Deployed vertical product,https://devpost.com/software/veterinary-four-color-triage-app
OpenAI Build Week,2026,Pulse,2nd Work and Productivity,Clinical decision support,Realtime speech plus deterministic state,Yes,Yes,Clinical validation and product,https://devpost.com/software/pulse-ewjaf9
OpenAI Build Week,2026,Second Voice,1st Apps for Your Life,Accessibility,Speech reconstruction with confirmation,Yes,Yes,Assistive product,https://devpost.com/software/second-voice-uk1peq
OpenAI Build Week,2026,AirBridge for Windows,2nd Apps for Your Life,Consumer utility and device integration,Audio streaming plus optional voice agent,Yes,Yes,Desktop utility product,https://devpost.com/software/airbridge-for-windows
OpenAI Build Week,2026,Echo Canvas,1st Developer Tools,Creator and developer tooling,Interactive spatial-audio workbench,No,Yes,Creator tool platform,https://devpost.com/software/echo-canvas-ujzksi
OpenAI Build Week,2026,Sentinel,2nd Developer Tools,Developer security tooling,Static AI and sandboxed MCP testing,No,Yes,Developer security suite,https://devpost.com/software/sentinel-way5bd
NYC GPT-5 Startup Hackathon,2025,Bell Hop,1st,Vertical business operations,AI chief of staff for boutique hotels,Yes,No,Vertical SaaS startup,https://www.linkedin.com/posts/openai-for-startups_200-startup-teams-were-able-to-ship-fast-activity-7379230155635892224-yv0_
NYC GPT-5 Startup Hackathon,2025,Fathom,2nd,Developer tooling,Voice-first codebase assistant,No,No,Developer tool startup,https://www.linkedin.com/posts/openai-for-startups_200-startup-teams-were-able-to-ship-fast-activity-7379230155635892224-yv0_
NYC GPT-5 Startup Hackathon,2025,Ego,3rd,Consumer finance,Credit-card ROI assistant,Yes,No,Consumer fintech product,https://www.linkedin.com/posts/openai-for-startups_200-startup-teams-were-able-to-ship-fast-activity-7379230155635892224-yv0_
